Time,P_load3,P_load4,const_0V,delta1,delta2,delta3,delta4,factor1,factor2,factor3,factor4,sigma1,sigma2,sigma3,sigma4
0.008,556.4914,560.6846,0.0,817.1567,270.13647,457.51575,580.85254,34.5947,310.08566,0.0,79.660706,782.56195,580.22217,457.51575,660.51324
0.0082,522.4707,527.559,0.0,824.31793,255.48067,459.12204,561.45386,43.6452,323.85858,0.0,99.76767,780.6728,579.3393,459.12204,661.22156
0.0084,486.54413,492.39816,0.0,823.2259,242.94733,458.2872,539.777,51.385155,331.27872,0.0,116.9911,771.84076,574.226,458.2872,656.76807
0.0086,449.26596,455.71222,0.0,816.5198,229.28247,454.13974,515.6393,58.27254,336.09155,0.0,132.32455,758.2472,565.374,454.13974,647.96387
0.0088,411.19647,418.02228,0.0,806.3553,212.27829,446.43356,488.68353,64.84702,341.0555,0.0,146.9488,741.50824,553.3338,446.43356,635.6323
0.009,372.89404,379.85648,0.0,792.8069,192.94916,436.39743,458.2979,71.59286,345.54678,0.0,161.91066,721.21405,538.496,436.39743,620.20856
0.0092,334.8853,341.74185,0.0,775.11597,173.00162,425.05743,424.2965,78.6147,347.97684,0.0,177.43828,696.5012,520.97845,425.05743,601.7348
0.0094,297.64688,304.19028,0.0,753.0578,152.6165,412.15955,387.18576,85.62638,348.094,0.0,192.90596,667.4314,500.7105,412.15955,580.09174
0.0096,261.61026,267.68182,0.0,726.93994,131.03668,396.89203,347.69647,92.262,346.58524,0.0,207.51424,634.6779,477.6219,396.89203,555.2107
0.0098,227.16919,232.65082,0.0,696.978,108.01826,378.94962,306.29532,98.330345,343.74097,0.0,220.8482,598.64764,451.75922,378.94962,527.14355
0.01,194.67444,199.47787,0.0,663.1687,84.05913,358.6587,263.16266,103.82522,339.23004,0.0,232.88991,559.3435,423.28918,358.6587,496.05255
0.0102,164.42229,168.48558,0.0,625.6111,59.66019,336.43338,218.43216,108.793434,332.77982,0.0,243.7444,516.8176,392.44,336.43338,462.17654
0.0104,136.64655,139.93588,0.0,584.6677,34.904396,312.46515,172.33922,113.25731,324.55472,0.0,253.46057,471.4104,359.45914,312.46515,425.7998
0.0106,111.51653,114.02788,0.0,540.803,9.711104,286.84155,125.17442,117.22006,314.886,0.0,262.0439,423.58295,324.59708,286.84155,387.21832
0.0108,89.137665,90.89624,0.0,494.37442,15.827685,259.73105,77.21568,120.682076,272.27286,0.0,269.49734,373.69235,288.10052,259.73105,346.71304
0.011,69.55243,70.61122,0.0,445.63373,41.458908,231.3683,28.738314,123.63559,208.7472,0.0,275.8042,321.99814,250.2061,231.3683,304.5425
0.0112,52.7426,53.180035,0.0,391.30075,65.352554,201.9718,21.800795,126.04,144.25426,0.0,237.27287,265.26074,209.60681,201.9718,259.07367
0.0114,38.634182,38.549747,0.0,302.742,77.33368,168.99054,89.48449,127.17645,75.209564,0.0,104.15808,175.56555,152.54324,168.99054,193.64256
0.0116,27.108335,26.611382,0.0,186.47655,91.2279,124.26225,172.80254,70.4329,0.0,21.542194,0.0,116.04365,91.2279,145.80444,172.80254
0.0118,18.024555,17.259579,0.0,83.8013,167.42484,39.39947,261.2741,119.304306,0.0,183.71242,0.0,203.1056,167.42484,223.11188,261.2741
0.012,11.271972,10.425709,0.0,7.5255356,277.5655,68.798,345.49985,297.27393,0.0,247.27112,0.0,304.79947,277.5655,316.06912,345.49985
0.0122,6.607134,5.710864,0.0,123.65255,331.3723,140.66585,440.0827,261.08932,0.0,244.34653,0.0,384.74188,331.3723,385.01236,440.0827
0.0124,3.6820867,2.7017906,0.0,241.46252,330.5051,160.10193,548.54584,202.32372,0.0,273.7776,0.0,443.78622,330.5051,433.87955,548.54584
0.0126,1.9642212,1.0057294,0.0,326.50723,338.8384,169.63614,648.79816,174.85257,0.0,315.3804,0.0,501.3598,338.8384,485.01654,648.79816
0.0128,1.0079936,0.23019515,0.0,377.61893,381.79974,198.20119,725.1639,185.21422,0.0,344.86896,0.0,562.8331,381.79974,543.0701,725.1639
0.013,0.5230779,0.0068209847,0.0,419.85458,429.61218,236.06377,780.3445,196.2838,0.0,357.06604,0.0,616.13837,429.61218,593.1298,780.3445
0.0132,0.3145048,0.034390915,0.0,472.14972,455.5196,270.07016,820.45465,179.70781,0.0,353.76562,0.0,651.85754,455.5196,623.8358,820.45465
0.0134,0.2668573,0.10525549,0.0,531.6973,465.3193,302.15845,847.451,154.34172,11.434762,337.03952,0.0,686.039,476.7541,639.19794,847.451
0.0136,0.3480492,0.11330666,0.0,586.5296,476.17908,338.04062,862.834,142.21767,36.79481,311.24548,0.0,728.74725,512.9739,649.28613,862.834
0.0138,0.6117366,0.050776336,0.0,631.29517,491.6955,374.95264,870.9603,129.23315,53.021553,283.58517,0.0,760.5283,544.71704,658.5378,870.9603
