Time,P_load3,P_load4,const_0V,delta1,delta2,delta3,delta4,factor1,factor2,factor3,factor4,sigma1,sigma2,sigma3,sigma4
0.3924,111.78037,112.49655,0.0,30.024683,1.9321693,6.7827096,21.923777,0.8075032,15.426192,1.7804149,0.0,30.832186,17.358362,8.563125,21.923777
0.3926,111.72103,112.43164,0.0,34.838276,0.64857,11.625641,22.982227,0.7218035,20.511251,0.0,1.6143061,34.116474,21.159822,11.625641,24.596533
0.3928,111.60651,112.3733,0.0,13.340227,10.562488,11.392456,12.246258,0.30500367,1.11306,0.0,0.6937722,13.035223,11.675548,11.392456,12.94003
0.393,111.465965,112.33344,0.0,14.165961,12.874726,2.091036,1.1943535,2.092809,0.0,4.60704,4.5480013,12.073153,12.874726,6.6980762,5.742355
0.3932,111.37927,112.25338,0.0,22.712378,1.5197626,8.548037,10.029721,2.542376,11.598024,0.0,5.524551,20.170002,13.117787,8.548037,15.554273
0.3934,111.40284,112.12965,0.0,21.081839,6.374478,10.227311,17.544724,0.32573897,8.465351,0.7309031,0.0,21.407578,14.839829,10.958215,17.544724
0.3936,111.50604,112.038895,0.0,16.79262,4.7688284,4.328788,20.83805,3.5916,6.973862,7.8631635,0.0,20.384218,11.742691,12.191951,20.83805
0.3938,111.61084,112.08578,0.0,10.046546,0.9025871,0.11635557,14.5653925,3.4581645,5.490834,7.3269544,0.0,13.504711,6.393421,7.44331,14.5653925
0.394,111.66892,112.224236,0.0,0.0064691524,0.42787924,0.54808295,1.8381176,1.1213117,0.0,0.65546256,0.0,1.1277808,0.42787924,1.2035455,1.8381176
0.3942,111.6898,112.36004,0.0,12.127457,2.3769283,0.41059992,10.696723,1.4650539,4.06478,3.2004292,0.0,13.592511,6.4417086,3.6110291,10.696723
0.3944,111.68619,112.40529,0.0,23.277506,2.8000844,3.5232809,18.196032,1.4085861,10.205381,3.087696,0.0,24.686092,13.005466,6.6109767,18.196032
0.3946,111.64984,112.38446,0.0,32.27594,1.5650245,8.19697,22.667252,0.35190576,17.27248,0.79290015,0.0,32.627846,18.837505,8.98987,22.667252
0.3948,111.57016,112.32746,0.0,22.842428,5.898089,11.172764,17.199848,0.3562321,9.893625,0.0,0.8093717,22.486197,15.791715,11.172764,18.00922
0.395,111.44784,112.27856,0.0,9.243654,15.109902,6.062872,1.0903723,1.1750592,0.0,2.6057029,0.37643006,8.068595,15.109902,8.668575,1.4668024
0.3952,111.34309,112.22989,0.0,23.686682,6.4944525,5.8373594,8.401154,2.8459032,5.5140376,0.0,6.1971345,20.840778,12.008491,5.8373594,14.598289
0.3954,111.336876,112.13134,0.0,23.655537,5.1403117,11.752496,15.853234,1.1354138,10.816727,0.0,2.463162,22.520123,15.957038,11.752496,18.316397
0.3956,111.42967,112.02075,0.0,19.95447,6.247233,7.3272033,21.483929,2.6084094,7.888444,5.722014,0.0,22.56288,14.135676,13.049217,21.483929
0.3958,111.552315,112.02058,0.0,14.371691,1.8463942,1.3119808,18.835033,3.9092178,7.462764,8.552137,0.0,18.280909,9.309157,9.864119,18.835033
0.396,111.63677,112.15388,0.0,5.412262,0.016094184,0.09118748,7.171744,1.6147926,3.292473,3.3499007,0.0,7.0270543,3.3085673,3.4410882,7.171744
0.3962,111.6763,112.3233,0.0,6.411915,1.6301675,0.7160255,6.807392,1.3874002,1.626592,1.5935678,0.0,7.799315,3.2567596,2.3095932,6.807392
0.3964,111.69066,112.42138,0.0,18.323463,2.8093586,1.1101638,16.53301,2.2621958,7.2142816,4.9410586,0.0,20.585659,10.023641,6.0512223,16.53301
0.3966,111.6815,112.42269,0.0,28.387959,1.9914072,6.0048857,21.244879,1.0365708,14.363833,2.2787247,0.0,29.42453,16.355242,8.28361,21.244879
0.3968,111.63045,112.3664,0.0,31.624266,1.2257745,10.795862,21.470367,0.47817972,18.220186,0.0,1.0785859,31.146086,19.445961,10.795862,22.548954
0.397,111.52798,112.31555,0.0,4.053854,13.068792,9.898348,7.377482,6.3179154,0.0,0.17729922,0.0,10.371769,13.068792,10.075647,7.377482
0.3972,111.408104,112.26705,0.0,20.024643,11.773125,0.36549056,5.701202,2.0678709,0.0,3.8125587,4.501588,17.956774,11.773125,4.178049,10.202789
0.3974,111.35177,112.203835,0.0,25.161068,1.0106605,10.767055,12.964099,2.3571355,14.440052,0.0,5.1277905,22.803934,15.450712,10.767055,18.091888
0.3976,111.40569,112.08415,0.0,22.706715,6.7376857,10.257431,20.148392,0.9717986,9.208353,2.1478398,0.0,23.678513,15.946039,12.405271,20.148392
0.3978,111.52694,112.02639,0.0,18.098906,3.618125,3.8243723,21.61094,3.7093647,8.5250025,8.121571,0.0,21.80827,12.143127,11.945943,21.61094
0.398,111.63285,112.10779,0.0,10.464896,0.4840615,0.4277263,13.372929,2.8167768,6.0204363,6.1597457,0.0,13.281673,6.504498,6.587472,13.372929
0.3982,111.69013,112.26824,0.0,0.34290743,0.82381845,0.6503824,0.255162,0.1494645,0.0,0.0,0.0,0.49237192,0.82381845,0.6503824,0.255162
0.3984,111.71359,112.4085,0.0,12.536964,2.5215588,0.40452564,12.557029,2.2387946,4.118314,4.0771203,0.0,14.77576,6.6398726,4.481646,12.557029
0.3986,111.71849,112.46993,0.0,23.723654,2.6101081,2.9877386,20.114546,2.1453147,10.729475,4.6901393,0.0,25.868969,13.339583,7.677878,20.114546
0.3988,111.69352,112.43493,0.0,32.852795,1.2680116,8.563809,23.177023,0.3589919,18.017859,0.80678993,0.0,33.211784,19.285872,9.3706,23.177023
0.399,111.61769,112.35049,0.0,21.43766,6.9460526,12.12438,15.28565,0.9707655,8.362648,0.0,2.1547534,20.466894,15.308701,12.12438,17.440403
0.3992,111.49277,112.303635,0.0,10.844221,15.146211,5.9165783,0.61865085,0.8890871,0.0,1.9844064,1.9293817,9.955134,15.146211,7.900985,2.5480325
0.3994,111.38722,112.26441,0.0,24.336151,5.3878584,6.811093,9.139492,2.8820977,7.3865786,0.0,6.284146,21.454052,12.774437,6.811093,15.423638
0.3996,111.386856,112.18498,0.0,24.08997,5.703367,12.581783,15.733138,1.4307108,10.707005,0.0,3.1018312,22.659258,16.410372,12.581783,18.834969
0.3998,111.49115,112.07169,0.0,20.218805,6.108167,7.2687025,21.717701,2.650611,8.141176,5.8158836,0.0,22.869417,14.249343,13.084586,21.717701
0.4,111.61744,112.05867,0.0,14.585763,1.3566335,0.67333275,19.555342,4.2572227,7.917218,9.309132,0.0,18.842985,9.273852,9.982465,19.555342
0.4002,111.69376,112.18957,0.0,5.6829066,0.3697036,0.40085986,7.48078,1.737079,2.9715564,2.9953036,0.0,7.419986,3.34126,3.3961635,7.48078
0.4004,111.72511,112.36425,0.0,6.3970256,1.815612,1.0295876,7.0963473,1.557304,1.369222,1.337836,0.0,7.9543295,3.184834,2.3674235,7.0963473
0.4006,111.73797,112.48654,0.0,18.56768,3.1999252,0.21984477,17.925413,2.9068031,6.838126,6.3459187,0.0,21.474483,10.038052,6.5657635,17.925413
0.4008,111.734,112.506325,0.0,28.719158,1.9468532,5.314086,23.067507,1.789929,14.622247,3.9191692,0.0,30.509089,16.5691,9.233255,23.067507
0.401,111.69182,112.431625,0.0,32.08507,1.6433066,11.2358,21.872885,0.49689707,18.221203,0.0,1.1390545,31.588175,19.86451,11.2358,23.011938
0.4012,111.59221,112.34226,0.0,3.0883899,13.9317465,11.088855,5.2616625,6.64615,0.0,0.0,1.6977527,9.73454,13.9317465,11.088855,6.959415
0.4014,111.46492,112.30369,0.0,22.892923,12.465749,0.5646008,7.8309827,1.8904238,0.0,3.0279603,4.1228886,21.0025,12.465749,3.592561,11.953871
0.4016,111.406685,112.26422,0.0,28.736292,1.215681,12.526582,14.4567995,2.864796,16.451305,0.0,6.2423406,25.871496,17.666986,12.526582,20.69914
0.4018,111.474045,112.157875,0.0,26.295815,7.3905663,12.311612,21.824724,0.47065225,10.9320545,1.0595737,0.0,26.766468,18.32262,13.371186,21.824724
0.402,111.614494,112.07862,0.0,21.873499,3.699344,4.661078,24.940044,4.0272975,10.740798,8.821342,0.0,25.900797,14.440142,13.482421,24.940044
0.4022,111.736404,112.15569,0.0,14.448548,0.14749373,0.6560442,16.974148,3.3134181,8.539855,7.247151,0.0,17.761967,8.687348,7.903195,16.974148
0.4024,111.805305,112.34695,0.0,3.0626044,0.7632805,1.7947745,1.7745583,0.30210698,1.3869883,0.0,0.70486724,2.7604973,2.1502688,1.7947745,2.4794254
0.4026,111.837616,112.49228,0.0,9.564213,2.611219,1.4998565,10.719923,2.3695066,2.208681,2.1681101,0.0,11.93372,4.8199,3.6679664,10.719923
0.4028,111.85264,112.54287,0.0,20.958899,2.344489,2.571114,17.816637,1.9282861,9.4205265,4.216322,0.0,22.887186,11.765016,6.787436,17.816637
0.403,111.83058,112.527534,0.0,30.52867,1.5121022,7.381498,22.09415,0.6522533,16.292538,1.4467016,0.0,31.180923,17.80464,8.828199,22.09415
0.4032,111.76024,112.477104,0.0,33.467167,1.094934,11.097115,23.027683,0.32857108,19.416431,0.0,0.752744,33.138596,20.511366,11.097115,23.780426
0.4034,111.64443,112.4274,0.0,5.7170553,12.599998,9.709767,9.094582,5.346033,0.0,0.9239569,0.0,11.063088,12.599998,10.633724,9.094582
0.4036,111.51525,112.37472,0.0,18.878696,11.912025,0.27040243,4.2073803,2.3793447,0.0,4.6832976,5.177901,16.499352,11.912025,4.9537,9.385281
0.4038,111.45562,112.30249,0.0,24.014292,0.76929057,10.355654,11.909194,2.4419,13.910482,0.0,5.309886,21.572392,14.679772,10.355654,17.21908
0.404,111.50577,112.173386,0.0,21.342016,6.755132,9.76121,19.392628,1.0618837,8.375838,2.3421998,0.0,22.4039,15.13097,12.103411,19.392628
0.4042,111.621635,112.107155,0.0,16.611029,3.8626606,3.335922,21.052628,3.8988628,7.4685364,8.533755,0.0,20.509892,11.331197,11.869678,21.052628
0.4044,111.724556,112.186,0.0,9.069089,0.4941334,0.18693712,12.778589,3.0007703,5.1740265,6.1877813,0.0,12.0698595,5.66816,6.3747187,12.778589
0.4046,111.77983,112.34947,0.0,1.7806271,0.8031998,0.08431175,1.028098,0.037333086,0.0,0.0,0.0,1.8179603,0.8031998,0.08431175,1.028098
0.4048,111.79843,112.479324,0.0,13.864937,2.3833401,0.35592654,13.003715,1.9892282,5.1013055,4.3440423,0.0,15.854165,7.484646,4.699969,13.003715
0.405,111.79651,112.5303,0.0,25.013657,2.6037478,3.7190459,20.359291,1.832013,11.513604,4.0089297,0.0,26.84567,14.1173525,7.7279754,20.359291
0.4052,111.763336,112.49045,0.0,34.074047,1.4045905,9.068911,23.545822,0.14552575,18.569609,0.34416056,0.0,34.219574,19.974197,9.413071,23.545822
0.4054,111.67824,112.41744,0.0,20.7322,7.702861,12.174373,15.539187,0.7412735,7.44492,0.0,1.6469628,19.990927,15.147781,12.174373,17.18615
0.4056,111.55277,112.3698,0.0,12.906841,15.81755,5.515768,1.3827213,1.1047257,0.0,2.4546027,2.3969307,11.802115,15.81755,7.9703712,3.7796519
0.4058,111.44723,112.31611,0.0,27.220486,5.7982416,7.3659987,11.076659,2.85306,8.569187,0.0,6.2189827,24.367426,14.367429,7.3659987,17.295643
0.406,111.453735,112.22659,0.0,26.971395,5.969054,13.340807,18.357933,1.1740258,12.262542,0.0,2.5525575,25.797369,18.231596,13.340807,20.91049
0.4062,111.56879,112.12532,0.0,23.031273,6.4750237,8.261926,23.969303,2.7355003,9.589287,6.0054727,0.0,25.766773,16.06431,14.267398,23.969303
0.4064,111.709564,112.13694,0.0,17.25552,1.4541507,1.7893336,20.948996,4.021466,9.457567,8.801965,0.0,21.276985,10.911718,10.591298,20.948996
0.4066,111.80707,112.28605,0.0,7.722667,0.18620424,0.5431034,8.562065,1.5424172,4.4443374,3.377568,0.0,9.265084,4.6305413,3.9206712,8.562065
0.4068,111.85676,112.471405,0.0,4.7420907,1.8269415,1.6127018,6.0906844,1.6316833,0.35870814,0.3307207,0.0,6.373774,2.1856496,1.9434224,6.0906844
0.407,111.88144,112.58428,0.0,17.052584,3.0217946,0.23124675,16.264751,2.5903277,6.1654973,5.653603,0.0,19.64291,9.187292,5.8848495,16.264751
0.4072,111.883026,112.59859,0.0,27.32827,1.9528096,5.3448033,21.231304,1.3762367,13.778072,3.0165908,0.0,28.704506,15.730882,8.361394,21.231304
0.4074,111.840996,112.53023,0.0,35.62961,0.65172005,10.906937,23.201847,0.6550853,20.51336,0.0,1.4744235,34.974525,21.16508,10.906937,24.676271
0.4076,111.735855,112.46215,0.0,21.505627,7.82155,12.623134,15.872702,0.8659254,7.840673,0.0,1.9146736,20.6397,15.662223,12.623134,17.787376
0.4078,111.59671,112.42968,0.0,14.63655,16.097437,4.632465,1.4156852,1.6164333,0.0,3.5704226,3.5170748,13.020117,16.097437,8.202888,4.9327602
0.408,111.49395,112.378944,0.0,30.133358,5.8354273,8.733634,12.107104,3.3290114,10.267843,0.0,7.249244,26.804346,16.103271,8.733634,19.356348
0.4082,111.50446,112.256386,0.0,30.931961,5.3801575,13.852629,21.465542,0.91860515,15.032552,0.0,1.990011,30.013355,20.412708,13.852629,23.455553
0.4084,111.62956,112.1528,0.0,26.812315,6.502462,9.106325,27.196407,3.0153248,11.844296,6.618434,0.0,29.827639,18.346758,15.72476,27.196407
0.4086,111.78169,112.182205,0.0,20.627964,1.8795434,3.1302502,23.3486,3.9786162,11.20481,8.712186,0.0,24.60658,13.084353,11.842436,23.3486
0.4088,111.89392,112.35004,0.0,10.772106,0.03793565,1.8517616,10.288339,1.3163631,6.503368,2.88988,0.0,12.0884695,6.5413036,4.7416415,10.288339
0.409,111.95678,112.53333,0.0,1.8313029,1.4989141,2.2190323,4.0872707,1.5905877,0.0,0.0,0.0,3.4218905,1.4989141,2.2190323,4.0872707
0.4092,111.9938,112.66723,0.0,14.714163,2.9280531,0.6725452,15.182139,2.836034,4.883921,4.841203,0.0,17.550198,7.8119745,5.513748,15.182139
0.4094,112.00644,112.70227,0.0,25.56169,2.1169329,4.205111,20.911821,1.837292,12.495864,4.0189633,0.0,27.398981,14.612797,8.224074,20.911821
0.4096,111.97728,112.65037,0.0,34.29063,0.7930885,9.896092,23.225677,0.17661113,19.519686,0.0,0.42592326,34.114017,20.312775,9.896092,23.651602
0.4098,111.89005,112.588,0.0,36.194283,1.5395739,12.92484,23.72089,0.98199415,20.77171,0.0,2.1818135,35.212288,22.311283,12.92484,25.902702
0.41,111.752495,112.530914,0.0,4.1508365,13.950819,10.386471,7.996206,6.967967,0.0,0.4442889,0.0,11.118804,13.950819,10.83076,7.996206
0.4102,111.6058,112.46964,0.0,24.00553,13.158586,1.1457523,7.0294595,2.539355,0.0,3.284748,5.52697,21.466175,13.158586,4.4305005,12.55643
0.4104,111.543625,112.385124,0.0,30.401606,0.7582486,12.412151,16.059652,2.5853457,17.754076,0.0,5.6231737,27.81626,18.512325,12.412151,21.682827
0.4106,111.61305,112.26224,0.0,27.59739,7.732768,12.364999,23.924458,0.9877949,11.488162,2.188838,0.0,28.585184,19.22093,14.553837,23.924458
0.4108,111.757706,112.18796,0.0,22.876186,4.190801,4.9128256,26.524454,4.373219,11.019609,9.578094,0.0,27.249405,15.21041,14.490919,26.524454
0.411,111.88534,112.2736,0.0,15.309734,0.039157394,0.79238373,17.98509,3.4924808,9.204421,7.639763,0.0,18.802216,9.243579,8.432146,17.98509
0.4112,111.95914,112.473076,0.0,3.6756506,0.63402057,1.8449525,2.2511003,0.25858337,1.8426217,0.0,0.6112809,3.4170673,2.4766424,1.8449525,2.8623812
0.4114,111.99407,112.625984,0.0,9.359638,2.6175976,1.6561487,10.752676,2.4536448,2.0764163,2.0389886,0.0,11.813283,4.6940136,3.6951373,10.752676
0.4116,112.0105,112.68166,0.0,21.068665,2.399588,2.4239032,18.152422,2.0612576,9.411777,4.5035872,0.0,23.129923,11.811364,6.9274907,18.152422
0.4118,111.99393,112.6697,0.0,30.964462,1.511984,7.460925,22.50645,0.70284367,16.555468,1.5553064,0.0,31.667307,18.067451,9.016232,22.50645
0.412,111.92708,112.62126,0.0,39.084736,1.1270009,11.318286,26.056736,0.37234142,21.957355,0.0,0.85110325,38.712395,23.084356,11.318286,26.907839
0.4122,111.809494,112.57125,0.0,24.832382,7.0999727,12.38441,19.389723,0.17752849,10.319446,0.0,0.4197604,24.654854,17.419418,12.38441,19.809483
0.4124,111.66351,112.51496,0.0,11.976269,16.405834,5.558613,0.678104,1.684729,0.0,3.7219265,2.3014503,10.291539,16.405834,9.2805395,2.9795542
0.4126,111.55454,112.43943,0.0,27.700375,6.380333,7.190071,11.093092,2.917779,8.075066,0.0,6.345539,24.782597,14.455399,7.190071,17.438631
0.4128,111.55914,112.31553,0.0,28.120667,5.6614385,12.868696,20.236965,0.61478674,13.15535,0.0,1.3204583,27.505878,18.816788,12.868696,21.557425
0.413,111.67332,112.1927,0.0,24.303041,6.6885495,7.931743,26.564062,3.518564,10.212138,7.713735,0.0,27.821604,16.900688,15.645478,26.564062
0.4132,111.81365,112.207344,0.0,18.555326,1.8423948,1.9090031,23.00203,4.5085554,9.98316,9.864791,0.0,23.063883,11.825555,11.773794,23.00203
0.4134,111.91188,112.363434,0.0,9.0617485,0.04166877,0.8254407,9.96887,1.7446381,5.445042,3.8180652,0.0,10.806387,5.486711,4.643506,9.96887
0.4136,111.9613,112.55161,0.0,3.232153,1.2041103,1.6081365,5.156468,1.5912838,0.2817407,0.25171018,0.0,4.8234367,1.4858509,1.8598467,5.156468
0.4138,111.985634,112.664925,0.0,15.993119,2.5293837,0.19706273,15.771789,2.6313837,6.184939,5.743156,0.0,18.624502,8.714322,5.940219,15.771789
0.414,111.985085,112.67891,0.0,26.908926,1.9582143,5.1073017,21.139662,1.4740894,13.517171,3.2308333,0.0,28.383015,15.475386,8.338135,21.139662
0.4142,111.9421,112.63341,0.0,35.887024,1.3275396,9.907034,24.377121,0.07640585,19.764704,0.0,0.2028994,35.81062,21.092243,9.907034,24.58002
0.4144,111.8433,112.5663,0.0,37.24141,1.3956913,12.993986,24.688358,0.8464197,21.503172,0.0,1.8933641,36.39499,22.898865,12.993986,26.581722
0.4146,111.69989,112.509094,0.0,2.6151907,14.933638,10.308607,7.7994256,8.808673,0.0,1.0061758,0.0,11.423864,14.933638,11.314783,7.7994256
0.4148,111.5586,112.45641,0.0,26.130325,13.3059845,2.0425267,7.7524347,2.875287,0.0,2.220752,6.264268,23.255037,13.3059845,4.263279,14.016703
0.415,111.50683,112.35727,0.0,32.80221,0.9939833,13.072041,18.226027,2.389871,19.039425,0.0,5.190513,30.41234,20.033407,13.072041,23.41654
0.4152,111.58828,112.21452,0.0,30.340422,7.815175,12.470963,27.326633,1.6904706,13.0813055,3.7256837,0.0,32.03089,20.89648,16.196646,27.326633
0.4154,111.7443,112.161644,0.0,25.688562,4.320185,5.5823483,29.019375,4.6111145,12.624642,10.09945,0.0,30.299677,16.944828,15.681798,29.019375
0.4156,111.884865,112.269745,0.0,17.909426,0.23049647,1.8649031,19.655964,3.3851678,10.666925,7.4100575,0.0,21.294594,10.897422,9.2749605,19.655964
0.4158,111.970436,112.47386,0.0,6.29988,0.45894614,2.534102,3.9773996,0.27792114,3.537487,0.0,0.6624592,6.021959,3.9964333,2.534102,4.6398587
0.416,112.021515,112.653305,0.0,7.067036,2.2407093,2.4428642,9.959973,2.777371,1.201549,1.1685574,0.0,9.844407,3.4422584,3.6114216,9.959973
0.4162,112.04995,112.73498,0.0,19.404516,2.5200293,1.1776395,18.240026,2.675341,8.250148,5.8397627,0.0,22.079857,10.770177,7.017402,18.240026
0.4164,112.04526,112.71936,0.0,29.485294,1.3247885,6.9358444,21.927485,0.8930569,15.916186,1.9681052,0.0,30.378351,17.240974,8.90395,21.927485
0.4166,111.98566,112.65432,0.0,37.508533,0.55121493,11.531581,24.565617,0.64870375,21.779497,0.0,1.4572252,36.85983,22.330713,11.531581,26.022842
0.4168,111.865654,112.59493,0.0,34.797752,2.6665936,12.899017,23.826433,0.65036595,19.198563,0.0,1.4592878,34.147385,21.865156,12.899017,25.28572
0.417,111.7113,112.531975,0.0,3.263234,13.277369,9.053979,8.311734,7.6175303,0.0,1.6714418,0.0,10.880764,13.277369,10.725421,8.311734
0.4172,111.56766,112.45555,0.0,20.34293,10.465873,1.8114377,5.451838,2.5046742,0.0,1.8735622,5.4470453,17.838257,10.465873,3.685,10.898883
0.4174,111.51365,112.33878,0.0,24.926641,1.8133343,10.320262,14.832113,1.517263,13.771444,0.0,3.2898066,23.409378,15.584779,10.320262,18.12192
0.4176,111.57711,112.2169,0.0,21.708237,7.0905466,9.218625,21.434706,1.8662572,8.376729,4.099551,0.0,23.574493,15.467276,13.318176,21.434706
0.4178,111.695885,112.15833,0.0,16.766315,3.4460757,2.5417335,22.121546,4.420943,7.842224,9.671353,0.0,21.18726,11.2883,12.213087,22.121546
0.418,111.793106,112.25274,0.0,8.776686,0.22676237,0.39914414,12.395969,2.9549727,5.1776986,5.660546,0.0,11.731659,5.404461,6.05969,12.395969
0.4182,111.838974,112.41308,0.0,2.5420299,0.92656064,0.09913758,1.8389292,0.18768242,0.23861252,0.20931114,0.0,2.7297125,1.1651732,0.30844873,1.8389292
0.4184,111.85695,112.54421,0.0,15.307094,3.0359614,0.26450834,13.95784,2.0696995,5.09494,4.519547,0.0,17.376793,8.130901,4.7840557,13.95784
0.4186,111.854,112.57819,0.0,26.345552,2.7749825,4.3530636,20.553692,1.5097823,12.084988,3.307251,0.0,27.855335,14.85997,7.6603146,20.553692
0.4188,111.8132,112.52557,0.0,34.916267,1.0017265,10.007851,23.460186,0.23859692,19.6146,0.0,0.5623051,34.677673,20.616325,10.007851,24.022491
0.419,111.72072,112.46191,0.0,28.77599,4.727555,12.667386,19.957151,0.82366794,14.223455,0.0,1.834614,27.952322,18.95101,12.667386,21.791765
0.4192,111.58233,112.42304,0.0,2.2546887,14.102,7.5995607,5.4101562,7.3055024,0.0,2.3751159,0.0,9.560191,14.102,9.974677,5.4101562
0.4194,111.45849,112.361725,0.0,19.856678,7.7723083,3.6821735,5.6023355,2.702886,1.4964291,0.0,5.879659,17.153791,9.268738,3.6821735,11.481995
0.4196,111.42615,112.24674,0.0,21.809792,3.6230023,10.20087,14.032463,1.1501402,10.707343,0.0,2.4889622,20.65965,14.330346,10.20087,16.521425
0.4198,111.50034,112.13156,0.0,18.227207,6.564687,7.2910156,19.866253,2.3594007,6.6363196,5.175032,0.0,20.586609,13.201007,12.466047,19.866253
0.42,111.61341,112.10337,0.0,12.946764,2.6268752,1.1243632,18.644054,4.1678095,6.087768,9.115289,0.0,17.114573,8.7146435,10.239652,18.644054
0.4202,111.695595,112.2108,0.0,4.6024094,0.1734374,1.0242262,8.190849,2.3456657,2.7012362,3.0777867,0.0,6.9480753,2.8746736,4.1020126,8.190849
0.4204,111.73112,112.360435,0.0,6.767833,1.3863429,0.53881377,5.2389126,0.4815173,2.166241,1.0518817,0.0,7.2493505,3.5525837,1.5906955,5.2389126
0.4206,111.73285,112.44381,0.0,18.347536,2.5680332,2.079664,15.0769005,1.5215234,7.5499,3.330324,0.0,19.869059,10.117933,5.409988,15.0769005
0.4208,111.70954,112.45958,0.0,28.50321,2.2879612,5.801675,21.304598,1.0706093,14.035046,2.3555956,0.0,29.573818,16.323008,8.15727,21.304598
0.421,111.64928,112.40696,0.0,31.84497,0.9160551,10.372985,22.05264,0.22119896,18.556559,0.0,0.52304035,31.623772,19.472614,10.372985,22.575682
0.4212,111.5458,112.345604,0.0,4.519044,12.869502,9.906626,7.6322646,5.9003305,0.0,0.16984284,0.0,10.419374,12.869502,10.076468,7.6322646
0.4214,111.42595,112.314896,0.0,19.360153,11.750342,0.54646504,4.5429487,2.4019709,0.0,4.1794257,5.23492,16.958183,11.750342,4.725891,9.777868
0.4216,111.37146,112.24285,0.0,24.25448,0.92313576,10.422973,12.334484,2.3449826,13.95304,0.0,5.0942554,21.909498,14.876176,10.422973,17.42874
0.4218,111.42798,112.1229,0.0,21.404284,7.0537553,9.977387,19.523378,1.0604218,8.214326,2.3409944,0.0,22.464705,15.268082,12.318381,19.523378
0.422,111.54869,112.05654,0.0,16.848272,3.91039,3.3114374,21.480595,4.016003,7.579028,8.790235,0.0,20.864275,11.489418,12.101672,21.480595
0.4222,111.65248,112.12689,0.0,9.696094,0.2417554,0.4510482,13.678322,3.2611675,5.7175364,6.226593,0.0,12.957261,5.959292,6.677641,13.678322
0.4224,111.70299,112.28831,0.0,0.75938046,0.45764947,0.049313378,0.22654153,0.06367419,0.0,0.14170958,0.09787036,0.6957063,0.45764947,0.19102296,0.3244119
0.4226,111.720375,112.42441,0.0,12.774059,2.0489473,0.14266504,12.554052,2.0872476,4.89143,4.5586634,0.0,14.861307,6.940377,4.7013283,12.554052
0.4228,111.71549,112.464775,0.0,23.924583,2.3810894,3.5763786,19.598555,1.7976832,11.155532,3.934841,0.0,25.722267,13.536622,7.5112195,19.598555
0.423,111.67946,112.43699,0.0,33.269043,1.7877351,8.211485,23.54993,0.47750837,17.573524,1.0678688,0.0,33.74655,19.36126,9.279354,23.54993
0.4232,111.59897,112.37217,0.0,20.00209,7.00752,11.112565,15.536923,0.39143184,7.474,0.0,0.8864276,19.610659,14.481521,11.112565,16.423351
0.4234,111.47814,112.31846,0.0,16.53975,16.880293,4.982817,3.2418692,1.2526337,0.0,2.7732685,2.7287474,15.287115,16.880293,7.7560854,5.970617
0.4236,111.38569,112.28664,0.0,31.67388,6.336995,8.826487,13.064528,3.3026726,10.52232,0.0,7.1981945,28.371208,16.859314,8.826487,20.262724
0.4238,111.40563,112.18543,0.0,31.708488,5.9801617,14.76815,21.653801,1.1795526,15.10086,0.0,2.5650284,30.528936,21.08102,14.76815,24.21883
0.424,111.53805,112.09445,0.0,27.770212,6.7662444,9.916728,27.288748,2.6954138,12.244792,5.923781,0.0,30.465626,19.011036,15.840509,27.288748
0.4242,111.69816,112.1084,0.0,21.996334,1.5493059,3.1202333,24.585636,4.1634855,12.246589,9.116447,0.0,26.159819,13.795895,12.236681,24.585636
0.4244,111.80902,112.271164,0.0,12.6263895,0.5536356,1.8606386,11.664823,1.4537985,6.9016714,3.189741,0.0,14.080189,7.455307,5.0503798,11.664823
0.4246,111.87227,112.47667,0.0,0.25218323,1.664947,3.2405984,3.7594001,1.9902129,0.0,0.0,0.0,2.242396,1.664947,3.2405984,3.7594001
0.4248,111.91169,112.59305,0.0,12.939446,2.7139177,1.0170751,13.924844,2.7948246,4.102727,4.061066,0.0,15.734271,6.8166447,5.078141,13.924844
0.425,111.926956,112.61347,0.0,23.691458,1.7077938,4.252836,19.093376,1.5282246,11.917802,3.345585,0.0,25.219683,13.625595,7.598421,19.093376
0.4252,111.894905,112.57985,0.0,32.455147,0.6440175,9.133965,22.602745,0.11035137,18.616047,0.2683852,0.0,32.5655,19.260065,9.402349,22.602745
0.4254,111.80995,112.548,0.0,35.227245,0.81970096,11.228535,24.575178,0.13472351,20.659075,0.0,0.32762417,35.09252,21.478775,11.228535,24.902802
0.4256,111.68058,112.489876,0.0,5.3701315,13.064412,9.70045,9.418894,6.0616274,0.0,1.3568722,0.0,11.431759,13.064412,11.057322,9.418894
0.4258,111.54808,112.43372,0.0,21.249258,12.629165,0.74728674,5.137112,2.6075222,0.0,4.2279468,5.6802964,18.641735,12.629165,4.9752336,10.817409
0.426,111.49116,112.34703,0.0,27.196299,0.49669826,11.030697,14.2271,2.3543813,16.002436,0.0,5.1129127,24.841917,16.499134,11.030697,19.340014
0.4262,111.55133,112.2143,0.0,24.54728,7.160673,10.754113,22.19835,1.2740068,10.032069,2.8103044,0.0,25.821287,17.192743,13.564417,22.19835
0.4264,111.68321,112.161804,0.0,19.702631,4.3331776,4.4600573,23.580845,4.0046415,9.01625,8.769933,0.0,23.707273,13.349427,13.22999,23.580845
